"Plot Title: pond"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: air_temp)","Voltage, V (LGR S/N: 2252217, SEN S/N: 2241280)","Current, mA (LGR S/N: 2252217, SEN S/N: 2241280)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: temp_c)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)","Batt, V (LGR S/N: 2252217)"
229,07/06/15 00:00:00,18.913,-0.2039,0.0000,0.2828,18.295,82.900,4.116
230,07/06/15 01:00:00,18.533,-0.2039,0.0000,0.2836,17.867,88.000,4.116
231,07/06/15 02:00:00,18.200,-0.2039,0.0000,0.2836,17.272,90.900,4.116
232,07/06/15 03:00:00,17.819,-0.2039,0.0000,0.2836,16.439,92.800,4.116
233,07/06/15 04:00:00,17.463,-0.2039,0.0000,0.2836,16.082,94.300,4.116
234,07/06/15 05:00:00,17.153,-0.2039,0.0000,0.2836,15.724,95.300,4.116
235,07/06/15 06:00:00,16.939,-0.2039,0.0000,0.2836,16.915,96.000,4.116
236,07/06/15 07:00:00,17.106,-0.2039,0.0000,0.2836,21.127,95.600,4.110
237,07/06/15 08:00:00,17.629,-0.2039,0.0000,0.2836,23.472,85.500,4.110
238,07/06/15 09:00:00,18.295,-0.2039,0.0000,0.2836,24.267,73.300,4.110
239,07/06/15 10:00:00,19.032,-0.2039,0.0000,0.2836,26.280,67.800,4.110
240,07/06/15 11:00:00,20.174,-0.2039,0.0000,0.2836,25.623,66.700,4.110
241,07/06/15 12:00:00,21.628,-0.2039,0.0000,0.2836,24.968,68.300,4.110
242,07/06/15 13:00:00,22.345,-0.2039,0.0000,0.2828,25.355,68.500,4.110
243,07/06/15 14:00:00,23.232,-0.2039,0.0000,0.2828,26.769,67.200,4.110
244,07/06/15 15:00:00,24.653,-0.2039,0.0000,0.2828,25.866,66.600,4.110
245,07/06/15 16:00:00,24.098,-0.2039,0.0000,0.2821,24.388,64.900,4.110
246,07/06/15 17:00:00,22.848,-0.2039,0.0000,0.2821,23.617,64.400,4.152
247,07/06/15 18:00:00,22.082,-0.2039,0.0000,0.2821,23.352,69.900,4.128
248,07/06/15 19:00:00,21.461,-0.2039,0.0000,0.2821,21.795,73.900,4.116
249,07/06/15 20:00:00,20.865,-0.2039,0.0000,0.2828,20.388,78.900,4.110
250,07/06/15 21:00:00,20.246,-0.2039,0.0000,0.2821,19.222,84.100,4.116
251,07/06/15 22:00:00,19.722,-0.2039,0.0000,0.2821,18.438,88.900,4.116
252,07/06/15 23:00:00,19.270,-0.2039,0.0000,0.2828,18.105,91.900,4.116
253,07/07/15 00:00:00,18.889,-0.2039,0.0000,0.2828,18.057,93.700,4.116
254,07/07/15 01:00:00,18.723,-0.2039,0.0000,0.2828,18.580,94.700,4.110
255,07/07/15 02:00:00,18.509,-0.2039,0.0000,0.2828,19.318,93.500,4.116
256,07/07/15 03:00:00,18.247,-0.2039,0.0000,0.2828,17.629,87.200,4.110
257,07/07/15 04:00:00,17.915,-0.2039,0.0000,0.2828,16.749,90.300,4.116
258,07/07/15 05:00:00,17.629,-0.2039,0.0000,0.2828,17.011,93.000,4.116
259,07/07/15 06:00:00,17.534,-0.2039,0.0000,0.2828,19.532,94.200,4.110
260,07/07/15 07:00:00,17.891,-0.2039,0.0000,0.2828,21.963,92.700,4.110
261,07/07/15 08:00:00,18.485,-0.2039,0.0000,0.2836,26.182,84.300,4.110
262,07/07/15 09:00:00,19.460,-0.2039,0.0000,0.2836,26.671,75.700,4.110
263,07/07/15 10:00:00,20.555,-0.2039,0.0000,0.2828,28.147,72.300,4.110
264,07/07/15 11:00:00,21.819,-0.2039,0.0000,0.2828,28.891,70.800,4.110
265,07/07/15 12:00:00,22.920,-0.2039,0.0000,0.2828,29.715,70.600,4.110
266,07/07/15 13:00:00,23.376,-0.2039,0.0000,0.3300,22.753,77.600,4.110
267,07/07/15 14:00:00,23.040,-0.2039,0.0000,0.3075,24.050,92.800,4.110
268,07/07/15 15:00:00,22.824,-0.2039,0.0000,0.3017,23.713,94.400,4.110
269,07/07/15 16:00:00,22.465,-0.2039,0.0000,0.3373,21.963,95.200,4.110
270,07/07/15 17:00:00,22.154,-0.2039,0.0000,0.3206,22.609,96.000,4.110
271,07/07/15 18:00:00,22.034,-0.2039,0.0000,0.3112,22.753,96.400,4.110
272,07/07/15 19:00:00,21.843,-0.2039,0.0000,0.3053,20.722,95.900,4.110
273,07/07/15 20:00:00,21.294,-0.2039,0.0000,0.3024,19.436,93.800,4.110
274,07/07/15 21:00:00,20.650,-0.2039,0.0000,0.3032,17.938,94.200,4.110
