"Plot Title: pond"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: soiltemp)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: airtemp)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)"
313,09/05/17 03:00:00  PM,18.961,0.3366,20.031,72.600
314,09/05/17 04:00:00  PM,18.866,0.3358,21.366,71.500
315,09/05/17 05:00:00  PM,18.842,0.3358,21.008,64.100
316,09/05/17 06:00:00  PM,18.628,0.3358,19.984,63.100
317,09/05/17 07:00:00  PM,18.343,0.3351,18.818,63.700
318,09/05/17 08:00:00  PM,17.891,0.3358,15.796,66.900
319,09/05/17 09:00:00  PM,17.368,0.3351,14.481,77.700
320,09/05/17 10:00:00  PM,16.820,0.3351,13.570,80.600
321,09/05/17 11:00:00  PM,16.296,0.3351,12.534,84.600
322,09/06/17 12:00:00  AM,15.867,0.3329,12.316,88.100
323,09/06/17 01:00:00  AM,15.461,0.3329,12.243,90.700
324,09/06/17 02:00:00  AM,15.199,0.3329,12.461,92.000
325,09/06/17 03:00:00  AM,15.008,0.3329,11.710,92.400
326,09/06/17 04:00:00  AM,14.768,0.3329,11.467,93.100
327,09/06/17 05:00:00  AM,14.577,0.3315,10.467,93.800
328,09/06/17 06:00:00  AM,14.290,0.3315,10.026,94.400
329,09/06/17 07:00:00  AM,14.026,0.3315,9.829,95.000
330,09/06/17 08:00:00  AM,13.786,0.3315,11.394,95.300
331,09/06/17 09:00:00  AM,13.738,0.3308,13.522,95.200
332,09/06/17 10:00:00  AM,13.858,0.3308,17.796,88.400
333,09/06/17 11:00:00  AM,14.122,0.3329,20.913,67.600
334,09/06/17 12:00:00  PM,14.601,0.3300,20.007,57.600
335,09/06/17 01:00:00  PM,15.294,0.3300,22.657,55.300
336,09/06/17 02:00:00  PM,16.868,0.3308,20.031,55.500
337,09/06/17 03:00:00  PM,17.415,0.3308,21.246,59.200
338,09/06/17 04:00:00  PM,17.534,0.3308,21.175,58.000
339,09/06/17 05:00:00  PM,17.605,0.3315,21.628,58.500
340,09/06/17 06:00:00  PM,17.748,0.3308,19.389,57.500
341,09/06/17 07:00:00  PM,17.653,0.3315,18.366,59.000
342,09/06/17 08:00:00  PM,17.344,0.3308,16.892,64.400
343,09/06/17 09:00:00  PM,16.987,0.3308,16.796,68.100
344,09/06/17 10:00:00  PM,16.654,0.3308,15.629,71.400
